locus_tag,accession,start,end,strand,gene_name,old_locus_tag,gene_product,ncbi_protein
SAOUHSC_00055,NC_007795.1,57955.0,58722.0,+,,,hypothetical protein,YP_498660.1
SAOUHSC_00056,NC_007795.1,58855.0,61053.0,+,,,hypothetical protein,YP_498661.1
SAOUHSC_00057,NC_007795.1,61204.0,62382.0,+,,,hypothetical protein,YP_498662.1
SAOUHSC_00058,NC_007795.1,62384.0,63772.0,+,,,hypothetical protein,YP_498663.1
SAOUHSC_00060,NC_007795.1,64265.0,65926.0,-,,,hypothetical protein,YP_498664.1
SAOUHSC_00061,NC_007795.1,66252.0,68027.0,-,,,myosin-cross-reactive antigen,YP_498665.1
SAOUHSC_00062,NC_007795.1,68201.0,69073.0,-,,,hypothetical protein,YP_498666.1
SAOUHSC_00064,NC_007795.1,69186.0,70583.0,+,,,hypothetical protein,YP_498667.1
SAOUHSC_00065,NC_007795.1,70773.0,71246.0,+,,,hypothetical protein,YP_498668.1
SAOUHSC_00067,NC_007795.1,71508.0,73100.0,+,,,L-lactate permease,YP_498669.1
SAOUHSC_00069,NC_007795.1,73429.0,74979.0,-,,,protein A,YP_498670.1
SAOUHSC_00070,NC_007795.1,75400.0,76152.0,-,,,accessory regulator-like protein,YP_498671.1
SAOUHSC_00071,NC_007795.1,76521.0,77435.0,-,,,lipoprotein SirC,YP_498672.1
SAOUHSC_00072,NC_007795.1,77516.0,78511.0,-,,,lipoprotein SirB,YP_498673.1
SAOUHSC_00074,NC_007795.1,78527.0,79519.0,-,,,periplasmic binding protein,YP_498674.1
SAOUHSC_00075,NC_007795.1,79885.0,80730.0,+,,,2%2C3-diaminopropionate biosynthesis protein SbnA,YP_498675.1
SAOUHSC_00076,NC_007795.1,80727.0,81737.0,+,,,2%2C3-diaminopropionate biosynthesis protein SbnB,YP_498676.1
SAOUHSC_00077,NC_007795.1,81758.0,83512.0,+,,,hypothetical protein,YP_498677.1
SAOUHSC_00078,NC_007795.1,83505.0,84761.0,+,,,hypothetical protein,YP_498678.1
SAOUHSC_00079,NC_007795.1,84751.0,86487.0,+,,,hypothetical protein,YP_498679.1
SAOUHSC_00080,NC_007795.1,86396.0,88246.0,+,,,hypothetical protein,YP_498680.1
SAOUHSC_00081,NC_007795.1,88221.0,88997.0,+,,,hypothetical protein,YP_498681.1
SAOUHSC_00082,NC_007795.1,88997.0,90199.0,+,,,hypothetical protein,YP_498682.1
SAOUHSC_00083,NC_007795.1,90203.0,90967.0,+,,,hypothetical protein,YP_498683.1
SAOUHSC_00084,NC_007795.1,91163.0,91570.0,+,,,hypothetical protein,YP_498685.1
SAOUHSC_00085,NC_007795.1,91620.0,92246.0,+,,,hypothetical protein,YP_498686.1
SAOUHSC_00086,NC_007795.1,92458.0,93234.0,+,,,acetoin reductase,YP_498687.1
SAOUHSC_00087,NC_007795.1,93378.0,93500.0,+,,,hypothetical protein,YP_498688.1
SAOUHSC_00088,NC_007795.1,93570.0,94550.0,+,,,hypothetical protein,YP_498689.1
SAOUHSC_00089,NC_007795.1,94513.0,95205.0,+,,,hypothetical protein,YP_498690.1
SAOUHSC_00090,NC_007795.1,95415.0,96581.0,+,,,hypothetical protein,YP_498691.1
SAOUHSC_00091,NC_007795.1,96562.0,97800.0,+,,,hypothetical protein,YP_498692.1
SAOUHSC_00092,NC_007795.1,97790.0,99220.0,+,,,hypothetical protein,YP_498693.1
SAOUHSC_00093,NC_007795.1,99488.0,100087.0,+,,,superoxide dismutase,YP_498694.1
SAOUHSC_00094,NC_007795.1,100455.0,101054.0,+,,,hypothetical protein,YP_498695.1
SAOUHSC_00096,NC_007795.1,101370.0,102125.0,-,,,GntR family transcriptional regulator,YP_498696.1
SAOUHSC_00097,NC_007795.1,102361.0,103068.0,+,,,purine nucleoside phosphorylase,YP_498698.1
SAOUHSC_00099,NC_007795.1,103075.0,104427.0,+,,,hypothetical protein,YP_498699.1
SAOUHSC_00100,NC_007795.1,104508.0,105170.0,+,,,2-deoxyribose-5-phosphate aldolase,YP_498700.1
SAOUHSC_00101,NC_007795.1,105198.0,106376.0,+,,,phosphopentomutase,YP_498701.1
SAOUHSC_00102,NC_007795.1,106507.0,107322.0,-,,,phosphonates ABC transporter permease,YP_498702.1
SAOUHSC_00103,NC_007795.1,107319.0,108119.0,-,,,phosphonates ABC transporter permease,YP_498703.1
SAOUHSC_00104,NC_007795.1,108121.0,108894.0,-,,,amino acid ABC transporter ATP-binding protein,YP_498704.1
SAOUHSC_00105,NC_007795.1,109108.0,110064.0,-,,,phosphonate ABC transporter substrate-binding protein,YP_498705.1
SAOUHSC_00106,NC_007795.1,110293.0,111837.0,+,,,hypothetical protein,YP_498706.1
SAOUHSC_00107,NC_007795.1,111888.0,113423.0,+,,,hypothetical protein,YP_498707.1
SAOUHSC_00108,NC_007795.1,113507.0,113710.0,+,,,hypothetical protein,YP_498708.1
SAOUHSC_00109,NC_007795.1,114083.0,114568.0,+,,,replication initiation protein,YP_498709.1
SAOUHSC_00111,NC_007795.1,114927.0,115214.0,+,,,hypothetical protein,YP_498711.1
SAOUHSC_00113,NC_007795.1,116538.0,119147.0,+,,,bifunctional acetaldehyde-CoA/alcohol dehydrogenase,YP_498713.1
SAOUHSC_00114,NC_007795.1,119492.0,120160.0,+,,,capsular polysaccharide biosynthesis protein,YP_498714.1
SAOUHSC_00115,NC_007795.1,120176.0,120862.0,+,,,capsular polysaccharide biosynthesis protein Cap5B,YP_498715.1
SAOUHSC_00116,NC_007795.1,120865.0,121629.0,+,,,capsular polysaccharide biosynthesis protein Cap8C,YP_498716.1
SAOUHSC_00117,NC_007795.1,121649.0,123472.0,+,,,capsular polysaccharide biosynthesis protein Cap5D,YP_498717.1
SAOUHSC_00118,NC_007795.1,123462.0,124490.0,+,,,capsular polysaccharide biosynthesis protein Cap5E,YP_498718.1
SAOUHSC_00119,NC_007795.1,124503.0,125612.0,+,,,capsular polysaccharide biosynthesis protein Cap8F,YP_498719.1
SAOUHSC_00120,NC_007795.1,125616.0,126740.0,+,,,UDP-N-acetylglucosamine 2-epimerase,YP_498720.1
SAOUHSC_00121,NC_007795.1,126743.0,127369.0,+,,,capsular polysaccharide biosynthesis protein O-acetyl transferase Cap5H,YP_498721.1
SAOUHSC_00122,NC_007795.1,127374.0,128483.0,+,,,capsular polysaccharide biosynthesis protein Cap5I,YP_498722.1
SAOUHSC_00123,NC_007795.1,128497.0,129663.0,+,,,capsular polysaccharide biosynthesis protein Cap5J,YP_498723.1
SAOUHSC_00124,NC_007795.1,129656.0,130861.0,+,,,capsular polysaccharide biosynthesis protein Cap5K,YP_498724.1
SAOUHSC_00125,NC_007795.1,130862.0,132067.0,+,,,cap5L protein/glycosyltransferase,YP_498725.1
SAOUHSC_00126,NC_007795.1,132078.0,132635.0,+,,,capsular polysaccharide biosynthesis protein Cap8M,YP_498726.1
SAOUHSC_00127,NC_007795.1,132635.0,133522.0,+,,,cap5N protein/UDP-glucose 4-epimerase,YP_498727.1
SAOUHSC_00128,NC_007795.1,133576.0,134838.0,+,,,cap5O protein/UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase,YP_498728.1
SAOUHSC_00129,NC_007795.1,134915.0,136060.0,+,,,UDP-N-acetylglucosamine 2-epimerase,YP_498729.1
SAOUHSC_00130,NC_007795.1,136125.0,136451.0,-,,,heme-degrading monooxygenase IsdI,YP_498730.1
SAOUHSC_00131,NC_007795.1,136458.0,136841.0,-,,,hypothetical protein,YP_498731.1
SAOUHSC_00132,NC_007795.1,137268.0,138755.0,+,,,aldehyde dehydrogenase,YP_498732.1
SAOUHSC_00133,NC_007795.1,139401.0,140360.0,+,,,hypothetical protein,YP_498733.1
SAOUHSC_00134,NC_007795.1,140422.0,140625.0,-,,,hypothetical protein,YP_498734.1
SAOUHSC_00135,NC_007795.1,140804.0,141316.0,+,,,hypothetical protein,YP_498735.1
SAOUHSC_00136,NC_007795.1,141658.0,142398.0,+,,,hypothetical protein,YP_498736.1
SAOUHSC_00137,NC_007795.1,142412.0,143386.0,+,,,hypothetical protein,YP_498737.1
SAOUHSC_00138,NC_007795.1,143383.0,144144.0,+,,,hypothetical protein,YP_498738.1
SAOUHSC_00139,NC_007795.1,144157.0,145188.0,+,,,hypothetical protein,YP_498739.1
SAOUHSC_00141,NC_007795.1,145405.0,145764.0,+,,,hypothetical protein,YP_498740.1
SAOUHSC_00142,NC_007795.1,145937.0,146962.0,+,,,formate dehydrogenase,YP_498741.1
SAOUHSC_00143,NC_007795.1,147348.0,148598.0,+,,,hypothetical protein,YP_498742.1
SAOUHSC_00144,NC_007795.1,149045.0,156220.0,+,,,hypothetical protein,YP_498743.1
SAOUHSC_00145,NC_007795.1,156233.0,156877.0,+,,,hypothetical protein,YP_498744.1
SAOUHSC_00146,NC_007795.1,157205.0,157684.0,-,,,hypothetical protein,YP_498745.1
SAOUHSC_00147,NC_007795.1,157954.0,158718.0,-,,,acetylglutamate kinase,YP_498746.1
SAOUHSC_00148,NC_007795.1,158734.0,159975.0,-,argJ,,bifunctional ornithine acetyltransferase/N-acetylglutamate synthase,YP_498747.1
SAOUHSC_00149,NC_007795.1,159987.0,161018.0,-,argC,,N-acetyl-gamma-glutamyl-phosphate reductase,YP_498748.1
SAOUHSC_00150,NC_007795.1,161057.0,162241.0,-,,,ornithine aminotransferase,YP_498749.1
SAOUHSC_00151,NC_007795.1,162494.0,163849.0,-,,,branched-chain amino acid transport system II carrier protein,YP_498750.1
SAOUHSC_00152,NC_007795.1,164125.0,164622.0,-,,,hypothetical protein,YP_498751.1
SAOUHSC_00153,NC_007795.1,164749.0,166389.0,-,,,indolepyruvate decarboxylase,YP_498752.1
SAOUHSC_00154,NC_007795.1,166583.0,166684.0,+,,,hypothetical protein,YP_498753.1
SAOUHSC_00155,NC_007795.1,166663.0,168660.0,-,,,PTS system glucose-specific protein,YP_498754.1
SAOUHSC_00156,NC_007795.1,169309.0,170349.0,+,,,hypothetical protein,YP_498755.1
SAOUHSC_00157,NC_007795.1,170349.0,171245.0,+,murQ,,N-acetylmuramic acid-6-phosphate etherase,YP_498756.1
SAOUHSC_00158,NC_007795.1,171257.0,172711.0,+,,,PTS system transporter,YP_498757.1
SAOUHSC_00160,NC_007795.1,172714.0,173589.0,+,,,hypothetical protein,YP_498758.1
SAOUHSC_00161,NC_007795.1,173783.0,174064.0,-,,,hypothetical protein,YP_498759.1
SAOUHSC_00162,NC_007795.1,174277.0,177066.0,+,,,HsdR family type I site-specific deoxyribonuclease,YP_498760.1
SAOUHSC_00163,NC_007795.1,177271.0,178113.0,+,,,hypothetical protein,YP_498761.1
SAOUHSC_00164,NC_007795.1,178115.0,179038.0,+,,,hypothetical protein,YP_498762.1
SAOUHSC_00166,NC_007795.1,179025.0,180137.0,+,,,hypothetical protein,YP_498763.1
SAOUHSC_00167,NC_007795.1,180402.0,181994.0,-,,,peptide ABC transporter ATP-binding protein,YP_498764.1
SAOUHSC_00168,NC_007795.1,181951.0,183429.0,+,,,hypothetical protein,YP_498765.1
SAOUHSC_00169,NC_007795.1,183435.0,184598.0,+,,,peptide ABC transporter permease,YP_498766.1
SAOUHSC_00170,NC_007795.1,184615.0,186390.0,+,,,RGD-containing lipoprotein,YP_498767.1
SAOUHSC_00171,NC_007795.1,186428.0,188434.0,+,,,gamma-glutamyltranspeptidase,YP_498768.1
SAOUHSC_00172,NC_007795.1,188732.0,189505.0,-,,,hypothetical protein,YP_498769.1
SAOUHSC_00173,NC_007795.1,189695.0,190321.0,-,,,azoreductase,YP_498770.1
SAOUHSC_00174,NC_007795.1,190530.0,191108.0,+,,,M23/M37 peptidase domain-containing protein,YP_498771.1
SAOUHSC_00175,NC_007795.1,191491.0,192588.0,+,,,multiple sugar-binding transport ATP-binding protein,YP_498772.1
SAOUHSC_00176,NC_007795.1,192601.0,193872.0,+,,,extracellular solute-binding protein,YP_498773.1
SAOUHSC_00177,NC_007795.1,193875.0,195143.0,+,,,maltose ABC transporter permease,YP_498774.1
SAOUHSC_00178,NC_007795.1,195145.0,195984.0,+,,,maltose ABC transporter permease,YP_498775.1
SAOUHSC_00179,NC_007795.1,196058.0,197134.0,+,,,hypothetical protein,YP_498776.1
SAOUHSC_00180,NC_007795.1,197159.0,198199.0,+,,,hypothetical protein,YP_498777.1
SAOUHSC_00181,NC_007795.1,198254.0,199222.0,+,,,hypothetical protein,YP_498778.1
SAOUHSC_00182,NC_007795.1,199583.0,200155.0,-,,,hypothetical protein,YP_498779.1
SAOUHSC_00183,NC_007795.1,200310.0,201689.0,+,uhpT,,sugar phosphate antiporter,YP_498780.1
SAOUHSC_00184,NC_007795.1,202048.0,202806.0,-,,,response regulator receiver domain-containing protein,YP_498781.1
SAOUHSC_00185,NC_007795.1,202799.0,204355.0,-,,,hypothetical protein,YP_498782.1
SAOUHSC_00186,NC_007795.1,204352.0,205320.0,-,,,lipoprotein,YP_498783.1
SAOUHSC_00187,NC_007795.1,205908.0,208157.0,+,,,formate acetyltransferase,YP_498784.1
SAOUHSC_00188,NC_007795.1,208180.0,208935.0,+,,,pyruvate formate-lyase 1 activating enzyme,YP_498785.1
SAOUHSC_00190,NC_007795.1,209271.0,211034.0,+,,,hypothetical protein,YP_498787.1
SAOUHSC_00191,NC_007795.1,211198.0,211542.0,-,,,hypothetical protein,YP_498788.1
SAOUHSC_00192,NC_007795.1,211732.0,213642.0,+,,,staphylocoagulase,YP_498789.1
SAOUHSC_00193,NC_007795.1,213824.0,213931.0,-,,,hypothetical protein,YP_498790.1
SAOUHSC_00195,NC_007795.1,214246.0,215430.0,-,,,acetyl-CoA acetyltransferase,YP_498792.1
SAOUHSC_00196,NC_007795.1,215460.0,217721.0,-,,,hypothetical protein,YP_498793.1
SAOUHSC_00197,NC_007795.1,217907.0,219118.0,-,,,hypothetical protein,YP_498794.1
SAOUHSC_00198,NC_007795.1,219230.0,220735.0,-,,,hypothetical protein,YP_498795.1
SAOUHSC_00199,NC_007795.1,220761.0,222338.0,-,,,acyl CoA:acetate/3-ketoacid CoA transferase,YP_498796.1
SAOUHSC_00200,NC_007795.1,222779.0,223921.0,+,,,hypothetical protein,YP_498797.1
SAOUHSC_00201,NC_007795.1,224235.0,225647.0,-,,,hypothetical protein,YP_498798.1
SAOUHSC_00202,NC_007795.1,225908.0,226264.0,-,,,hypothetical protein,YP_498799.1
SAOUHSC_00203,NC_007795.1,226421.0,226594.0,-,,,hypothetical protein,YP_498800.1
SAOUHSC_00204,NC_007795.1,226620.0,227765.0,-,,,globin domain-containing protein,YP_498801.1
SAOUHSC_00205,NC_007795.1,227920.0,228027.0,+,,,hypothetical protein,YP_498802.1
SAOUHSC_00206,NC_007795.1,228482.0,229291.0,+,,,L-lactate dehydrogenase,YP_498803.1
SAOUHSC_00208,NC_007795.1,229502.0,229645.0,+,,,hypothetical protein,YP_498804.1
SAOUHSC_00209,NC_007795.1,229611.0,231140.0,-,,,PTS system glucose-specific transporter subunit IIBC,YP_498805.1
SAOUHSC_00211,NC_007795.1,231502.0,232437.0,+,,,hypothetical protein,YP_498806.1
SAOUHSC_00212,NC_007795.1,232547.0,232645.0,+,,,hypothetical protein,YP_498807.1
SAOUHSC_00213,NC_007795.1,232776.0,234872.0,+,,,hypothetical protein,YP_498808.1
SAOUHSC_00214,NC_007795.1,234857.0,235324.0,+,,,PTS system transporter subunit IIA,YP_498809.1
SAOUHSC_00215,NC_007795.1,235347.0,235625.0,+,,,PTS system transporter,YP_498810.1
SAOUHSC_00216,NC_007795.1,235852.0,237111.0,+,,,PTS system transporter,YP_498811.1
SAOUHSC_00217,NC_007795.1,237129.0,238184.0,+,,,sorbitol dehydrogenase,YP_498812.1
SAOUHSC_00218,NC_007795.1,238186.0,238332.0,+,,,hypothetical protein,YP_498813.1
SAOUHSC_00219,NC_007795.1,238356.0,239399.0,+,,,hypothetical protein,YP_498814.1
SAOUHSC_00220,NC_007795.1,239969.0,240643.0,+,,,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,YP_498815.1
SAOUHSC_00221,NC_007795.1,240636.0,241661.0,+,,,alcohol dehydrogenase,YP_498816.1
SAOUHSC_00222,NC_007795.1,241836.0,243377.0,+,,,teichoic acid biosynthesis protein TagB,YP_498818.1
SAOUHSC_00223,NC_007795.1,243805.0,244974.0,+,,,teichoic acid biosynthesis protein F,YP_498819.1
SAOUHSC_00225,NC_007795.1,245250.0,245966.0,+,ispD,,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,YP_498820.1
SAOUHSC_00226,NC_007795.1,245959.0,246984.0,+,,,hypothetical protein,YP_498821.1
SAOUHSC_00227,NC_007795.1,247006.0,248694.0,+,,,hypothetical protein,YP_498822.1
SAOUHSC_00228,NC_007795.1,248727.0,250451.0,+,,,hypothetical protein,YP_498823.1
SAOUHSC_00229,NC_007795.1,250591.0,251265.0,+,,,cell wall biosynthesis protein ScdA,YP_498824.1
SAOUHSC_00230,NC_007795.1,251527.0,253266.0,+,,,two-component sensor histidine kinase,YP_498825.1
SAOUHSC_00231,NC_007795.1,253269.0,254009.0,+,,,two-component response regulator,YP_498826.1
SAOUHSC_00232,NC_007795.1,254122.0,254565.0,+,,,murein hydrolase regulator LrgA,YP_498827.1
SAOUHSC_00233,NC_007795.1,254558.0,255259.0,+,,,antiholin-like protein LrgB,YP_498828.1
SAOUHSC_00234,NC_007795.1,255367.0,256071.0,-,,,hypothetical protein,YP_498829.1
SAOUHSC_00235,NC_007795.1,256220.0,257011.0,+,,,hypothetical protein,YP_498830.1
SAOUHSC_00236,NC_007795.1,257027.0,258463.0,+,,,6-phospho-beta-glucosidase,YP_498831.1
SAOUHSC_00237,NC_007795.1,258896.0,259657.0,-,,,hypothetical protein,YP_498832.1
SAOUHSC_00238,NC_007795.1,259676.0,259810.0,+,,,hypothetical protein,YP_498833.1
SAOUHSC_00239,NC_007795.1,259908.0,260822.0,-,,,ribokinase,YP_498834.1
SAOUHSC_00240,NC_007795.1,260850.0,261254.0,-,,,D-ribose pyranase,YP_498835.1
SAOUHSC_00241,NC_007795.1,261269.0,262150.0,-,,,hypothetical protein,YP_498836.1
SAOUHSC_00242,NC_007795.1,262382.0,263380.0,-,,,hypothetical protein,YP_498837.1
SAOUHSC_00243,NC_007795.1,263531.0,263710.0,+,,,NADH dehydrogenase subunit,YP_498838.1
SAOUHSC_00244,NC_007795.1,263760.0,264152.0,+,,,hypothetical protein,YP_498839.1
SAOUHSC_00246,NC_007795.1,264825.0,266201.0,-,,,drug transporter,YP_498841.1
SAOUHSC_00247,NC_007795.1,266435.0,267427.0,+,,,hypothetical protein,YP_498842.1
SAOUHSC_00248,NC_007795.1,267753.0,268703.0,+,,,peptidoglycan hydrolase,YP_498843.1
SAOUHSC_00249,NC_007795.1,268755.0,269414.0,-,,,hypothetical protein,YP_498844.1
SAOUHSC_00250,NC_007795.1,269428.0,270348.0,-,,,hypothetical protein,YP_498845.1
SAOUHSC_00251,NC_007795.1,270345.0,271511.0,-,,,hypothetical protein,YP_498846.1
SAOUHSC_00253,NC_007795.1,271579.0,273102.0,-,,,hypothetical protein,YP_498847.1
SAOUHSC_00254,NC_007795.1,273373.0,274026.0,+,,,hypothetical protein,YP_498848.1
SAOUHSC_00255,NC_007795.1,274060.0,274647.0,+,,,hypothetical protein,YP_498849.1
SAOUHSC_00256,NC_007795.1,274790.0,275683.0,-,,,hypothetical protein,YP_498850.1
SAOUHSC_00257,NC_007795.1,275931.0,276224.0,+,,,hypothetical protein,YP_498851.1
SAOUHSC_00258,NC_007795.1,276308.0,279337.0,+,,,hypothetical protein,YP_498852.1
SAOUHSC_00259,NC_007795.1,279337.0,279795.0,+,,,hypothetical protein,YP_498853.1
SAOUHSC_00260,NC_007795.1,279728.0,280009.0,+,,,hypothetical protein,YP_498854.1
SAOUHSC_00261,NC_007795.1,280022.0,281356.0,+,,,hypothetical protein,YP_498855.1
SAOUHSC_00262,NC_007795.1,281378.0,285817.0,+,,,hypothetical protein,YP_498856.1
SAOUHSC_00264,NC_007795.1,285847.0,286239.0,+,,,hypothetical protein,YP_498857.1
SAOUHSC_00265,NC_007795.1,286255.0,286569.0,+,,,hypothetical protein,YP_498858.1
SAOUHSC_00266,NC_007795.1,286569.0,287243.0,+,,,hypothetical protein,YP_498859.1
SAOUHSC_00267,NC_007795.1,287243.0,287560.0,+,,,hypothetical protein,YP_498860.1
SAOUHSC_00268,NC_007795.1,287570.0,289414.0,+,,,hypothetical protein,YP_498861.1
SAOUHSC_00269,NC_007795.1,289425.0,289916.0,+,,,hypothetical protein,YP_498862.1
SAOUHSC_00270,NC_007795.1,290124.0,290807.0,+,,,hypothetical protein,YP_498863.1
SAOUHSC_00271,NC_007795.1,290954.0,291565.0,+,,,hypothetical protein,YP_498864.1
SAOUHSC_00272,NC_007795.1,291701.0,291919.0,+,,,hypothetical protein,YP_498865.1
SAOUHSC_00274,NC_007795.1,292051.0,292551.0,+,,,hypothetical protein,YP_498866.1
SAOUHSC_00275,NC_007795.1,292562.0,293062.0,+,,,hypothetical protein,YP_498867.2
SAOUHSC_00276,NC_007795.1,293073.0,293573.0,+,,,hypothetical protein,YP_498868.1
SAOUHSC_00277,NC_007795.1,293584.0,294084.0,+,,,hypothetical protein,YP_498869.1
SAOUHSC_00278,NC_007795.1,294095.0,294583.0,+,,,hypothetical protein,YP_498870.1
SAOUHSC_00279,NC_007795.1,295206.0,295580.0,+,,,hypothetical protein,YP_498871.1
SAOUHSC_00280,NC_007795.1,295733.0,296131.0,+,,,hypothetical protein,YP_498872.1
SAOUHSC_00281,NC_007795.1,296347.0,297171.0,-,,,hypothetical protein,YP_498873.1
SAOUHSC_00282,NC_007795.1,297408.0,298685.0,-,,,branched-chain amino acid transport system II carrier protein,YP_498874.1
SAOUHSC_00284,NC_007795.1,299299.0,300189.0,+,,,5'-nucleotidase,YP_498875.1
SAOUHSC_00285,NC_007795.1,300438.0,301487.0,+,,,hypothetical protein,YP_498877.1
SAOUHSC_00287,NC_007795.1,301500.0,302177.0,+,,,ABC transporter ATP-binding protein,YP_498878.1
SAOUHSC_00289,NC_007795.1,302336.0,302476.0,-,,,hypothetical protein,YP_498879.1
SAOUHSC_00290,NC_007795.1,302466.0,303416.0,+,,,hypothetical protein,YP_498880.1
SAOUHSC_00291,NC_007795.1,303759.0,304877.0,+,,,PfkB family carbohydrate kinase,YP_498881.1
SAOUHSC_00292,NC_007795.1,304852.0,305775.0,+,,,hypothetical protein,YP_498882.1
SAOUHSC_00293,NC_007795.1,305786.0,307006.0,+,,,hypothetical protein,YP_498883.1
